net,length_um
rd1_ex\[27\],204.72
_00548_,204.63
_02014_,204.6
_02959_,204.245
_02636_,204.135
_03947_,204.1
_04469_,203.88
_03207_,203.82
_04928_,203.49
imm_ex\[14\],203.47
_02690_,203.335
_04384_,203.3
_01995_,202.6
_02006_,202.45
_05388_,202.39
_04729_,202.25
_01647_,202.24
_02960_,202.24
imm_ex\[30\],202.1
_02846_,202.05
_04927_,201.66
_05203_,201.56
_03937_,201.24
_02132_,201.21
_04695_,201.13
rd2_ex\[6\],200.77
_04686_,200.6
_01738_,200.26
imm_ex\[22\],199.41
_03423_,199.27
pc_plus_4_ex\[29\],198.93
_05434_,198.88
_02337_,198.77
_01457_,198.48
_02133_,198.32
_03957_,198.12
imm_ex\[17\],197.87
_05433_,197.84
_04735_,197.7
rd1_ex\[24\],197.24
_03955_,197.13
_01632_,196.68
_02300_,196.26
_02093_,195.66
_04684_,195.625
_02763_,195.505
_02568_,195.4
_05470_,195.18
_02185_,194.96
_03265_,194.93
_01731_,194.68
_01650_,194.4
_00522_,194.125
_05469_,193.8
_00152_,193.7
_02448_,193.54
_01711_,193.5
_01991_,193.32
_05389_,193.07
_02522_,193.05
_03156_,192.38
_02556_,192.37
_02125_,192.25
_02666_,192.16
_01566_,192.04
_02540_,191.97
_00198_,191.94
_02013_,191.94
imm_ex\[18\],191.88
_01479_,191.865
_02541_,191.5
_01644_,191.24
_01478_,191.235
_02952_,191.14
_01455_,190.54
_02286_,190.5
_01771_,190.26
_00541_,190.165
_03039_,189.86
_04402_,189.47
imm_ex\[10\],189.46
_02464_,189.36
_03261_,189.2
_03904_,189
_01682_,188.46
_02029_,188.1
_03341_,187.84
_01705_,187.75
_02538_,187.44
_02092_,187.36
_04822_,187.08
_03009_,186.54
_02001_,186.24
_03956_,185.91
_01685_,185.48
_00000_,185.22
_00134_,185.02
_02762_,184.66
imm_ex\[13\],184.52
_02115_,183.65
_02740_,183.56
_02814_,183.48
_03445_,183.12
_01988_,182.6
imm_ex\[12\],182.26
_01989_,182.23
_05343_,182.12
_02024_,181.88
_02219_,181.77
_02931_,181.495
_05147_,181.06
_01638_,180.34
_02557_,180.01
_02285_,178.86
_02163_,178.58
_04455_,178.3
_02002_,177.66
_03531_,177.28
_03814_,176.54
_03912_,176.22
_02777_,176.15
_02855_,176.035
_01664_,175.95
_02223_,175.77
_04480_,175.76
_02649_,175.68
_01620_,175.38
_02164_,175.01
_06000_,174.7
_05989_,174.47
_04240_,174.44
_02098_,174.23
_02575_,173.86
haz_detect.id_rs2\[0\],173.355
_05181_,173.2
_03943_,173.12
_05529_,172.82
imm_ex\[26\],172.82
_02035_,172.62
_02243_,172.36
_01764_,171.62
_02913_,170.78
rd2_ex\[9\],170.72
_01975_,170.63
_04233_,170.62
pc_plus_4_ex\[18\],170.54
_01677_,170.485
_02635_,170.41
_02918_,169.96
_02530_,169.78
_02148_,169.75
_01506_,169.73
_02174_,169.5
_02881_,169.42
alu_op_ex\[3\],169.16
clknet_3_1_0_clk,169.02
alu_src_ex,167.54
imm_ex\[11\],167.515
_04352_,167.48
_02882_,167.46
_02527_,167.35
_03232_,167.33
_02890_,167.145
_02829_,167.04
imm_ex\[27\],165.75
_01670_,165.44
_02357_,164.88
_04532_,164.54
_02025_,164.28
_02026_,164.14
_04275_,163.58
_02152_,163.55
_06188_,163.16
_02529_,161.59
_04437_,161.3
_01727_,160.92
rd2_ex\[8\],160.42
_00138_,160.24
_06094_,159.76
_05703_,159.58
_02586_,158.36
_03311_,158.1
_02883_,158.02
_02692_,157.99
_02711_,157.86
_05526_,156.97
_01679_,156.96
_03185_,156.83
_02765_,156.61
_01992_,156.05
_04557_,155.49
rd2_ex\[11\],155.22
