net,length_um
_00054_,214.2
_02046_,214.08
_04623_,213.97
_04613_,213.92
_05651_,213.56
rd1_ex\[24\],213.48
_03478_,213.12
_05342_,213.015
_03770_,212.93
_01733_,212.81
_03078_,212.505
_02502_,212.45
_02128_,212.42
_05434_,212.41
_04588_,212.3
_03699_,212.16
_06715_,211.915
_03298_,211.86
_02952_,211.71
_01639_,211.4
_01801_,211.03
_00044_,210.875
_03528_,210.65
rd1_ex\[5\],209.98
_03094_,209.6
rd1_ex\[1\],209.16
_03982_,208.87
_01633_,208.84
_01721_,208.68
_05435_,208.64
_05626_,208.5
_05459_,208.46
_02842_,207.85
imm_ex\[3\],207.84
_00002_,207.685
_02712_,207.6
_01720_,207.36
imm_ex\[15\],207.215
imm_ex\[23\],206.98
_03092_,206.76
_03183_,206.46
_05441_,206.285
_02838_,205.465
_04611_,205.26
_05454_,205.02
_03553_,204.955
_03499_,204.88
_03931_,204.32
_02782_,203.98
_02690_,203.915
_03044_,203.72
imm_ex\[16\],203.265
pc_plus_4_ex\[24\],203.26
rd2_ex\[6\],203.2
_02501_,203.06
_01655_,202.97
_02722_,202.88
_03855_,202.785
_03827_,202.74
_00616_,202.485
_03914_,202.205
_04703_,201.57
_02870_,201.32
_05397_,200.49
_03000_,200.47
_04609_,200.4
_07065_,200.315
_01526_,200.23
_02718_,200.21
_00041_,199.905
_02725_,199.83
_05426_,199.83
_03718_,199.765
_01778_,199.575
_00613_,199.54
_03527_,199.14
imm_ex\[8\],199.1
_03235_,198.88
_03490_,198.78
_05421_,198.7
_06181_,198.66
_05399_,198.64
_01503_,198.47
rd2_ex\[7\],198.46
_06270_,198.35
_01677_,198.27
_03625_,198.24
_04197_,198.08
_03932_,198
_02024_,197.76
_06090_,197.76
_03762_,197.57
_03539_,197.32
_04852_,197.2
_02753_,197.16
_04710_,197.16
_03860_,196.86
_02831_,196.68
_02364_,196.66
_05448_,196.65
_04301_,196.58
_05416_,196.54
pc_plus_4_ex\[7\],196.53
_03001_,195.84
_02291_,195.66
_03493_,195.24
_02294_,195.16
_03446_,194.8
_04208_,194.77
_06736_,194.06
_03512_,193.98
_02926_,193.92
_03742_,193.92
net167,193.73
_01997_,193.42
_04776_,193.36
_02498_,193.16
_03012_,193.13
_01658_,193.04
_03234_,192.78
_01531_,192.72
_03689_,192.48
_03335_,192.47
_02500_,192.22
_03289_,192.13
_07019_,192.085
_05712_,191.71
_03130_,191.53
_05430_,191.46
